sample_id,aum
tensor(56),5.9613165855407715
tensor(69),2.421182632446289
tensor(82),2.1182947158813477
tensor(44),2.045375108718872
tensor(52),1.522993803024292
tensor(53),1.416128396987915
tensor(59),1.2891844511032104
tensor(65),1.0545251369476318
tensor(60),1.045820713043213
tensor(58),1.0413703918457031
tensor(97),1.0385302305221558
tensor(70),1.035309910774231
tensor(57),0.9984245300292969
tensor(61),0.8481760025024414
tensor(87),0.7172738313674927
tensor(0),0.6551916599273682
tensor(50),0.6461875438690186
tensor(80),0.5488928556442261
tensor(28),0.37579935789108276
tensor(45),0.17284488677978516
tensor(92),0.0389176607131958
tensor(89),-0.09263193607330322
tensor(91),-0.13612329959869385
tensor(54),-0.30807769298553467
tensor(43),-0.3115605115890503
tensor(21),-0.3235386610031128
tensor(4),-0.3247056007385254
tensor(81),-0.3937720060348511
tensor(18),-0.4075494408607483
tensor(49),-0.5098767876625061
tensor(99),-0.5562407970428467
tensor(24),-0.5576928853988647
tensor(14),-0.5978697538375854
tensor(16),-0.5985002517700195
tensor(5),-0.6649429798126221
tensor(32),-0.6814376711845398
tensor(20),-0.7201980352401733
tensor(15),-0.7241318225860596
tensor(88),-0.7514294385910034
tensor(41),-0.7529925107955933
tensor(93),-0.8490732908248901
tensor(66),-0.885658860206604
tensor(39),-0.9397753477096558
tensor(84),-0.9585661292076111
tensor(62),-0.9651830196380615
tensor(3),-0.969560980796814
tensor(1),-1.0255522727966309
tensor(94),-1.0669994354248047
tensor(64),-1.090871810913086
tensor(31),-1.0991495847702026
tensor(13),-1.10701584815979
tensor(6),-1.1155437231063843
tensor(72),-1.180920124053955
tensor(48),-1.2468340396881104
tensor(42),-1.2480772733688354
tensor(33),-1.278301477432251
tensor(51),-1.3087270259857178
tensor(30),-1.350616455078125
tensor(35),-1.3852654695510864
tensor(85),-1.3926033973693848
tensor(83),-1.529728889465332
tensor(38),-1.5502653121948242
tensor(76),-1.5621156692504883
tensor(27),-1.5871617794036865
tensor(86),-1.5970213413238525
tensor(34),-1.608980417251587
tensor(46),-1.6224759817123413
tensor(74),-1.7577455043792725
tensor(78),-1.7777225971221924
tensor(79),-1.7962698936462402
tensor(25),-1.8343206644058228
tensor(26),-1.8837575912475586
tensor(47),-1.918074369430542
tensor(77),-1.9553639888763428
tensor(68),-1.9780335426330566
tensor(11),-2.069836378097534
tensor(98),-2.071226119995117
tensor(37),-2.0840840339660645
tensor(71),-2.108034610748291
tensor(2),-2.1241941452026367
tensor(8),-2.2029495239257812
tensor(23),-2.2048964500427246
tensor(55),-2.3422164916992188
tensor(29),-2.355483293533325
tensor(36),-2.394944190979004
tensor(40),-2.4163401126861572
tensor(63),-2.4349706172943115
tensor(73),-2.4917802810668945
tensor(96),-2.6213788986206055
tensor(9),-2.628284454345703
tensor(22),-2.6614720821380615
tensor(67),-2.821310520172119
tensor(75),-2.908933162689209
tensor(90),-2.9861738681793213
tensor(95),-3.3171463012695312
tensor(7),-3.6119537353515625
tensor(19),-4.031498432159424
tensor(10),-4.7773895263671875
tensor(12),-5.156585693359375
tensor(17),-5.327103614807129
